Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2021-08-19 20:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,111.7,$46743.1799,$43003.7255 (8.00%),$43003.7255,$54222.0887,-0.03,1.59,2021-09-07 12:00,$42969.3225,Stop Loss Inicial,R$ 29.79,R$ 227.39,"R$ -1,798.44",-1.18,"R$ 189,937.15"
2021-08-29 08:00,YFII,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,101.8,$4310.7543,$3965.8940 (8.00%),$4315.0651,$5000.4750,-0.53,3.28,2021-08-30 20:00 | 2021-09-07 12:00,$5000.4750 | $4311.6130,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 29.81,R$ 103.66,"R$ +1,396.86",0.91,"R$ 191,334.01"
2021-08-31 04:00,KSM,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,105.1,$317.1185,$291.7490 (8.00%),$317.4356,$367.8574,0.0,2.2,2021-08-31 08:00 | 2021-09-07 12:00,$367.8574 | $317.1817,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 30.03,R$ -86.89,"R$ +1,598.50",1.04,"R$ 192,932.51"
2021-09-09 08:00,ETH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ETH,131.1,$3502.6705,$3222.4568 (8.00%),$3222.4568,$4063.0977,-0.73,0.08,2021-09-10 12:00,$3219.8789,Stop Loss Inicial,R$ 60.53,R$ 11.47,"R$ -3,203.32",-1.03,"R$ 189,729.19"
2021-09-12 12:00,CRV,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.0,$2.3692,$2.1796 (8.00%),$2.1796,$2.7483,-1.1,0.28,2021-09-13 04:00,$2.1779,Stop Loss Inicial,R$ 60.50,R$ 7.76,"R$ -3,198.09",-1.03,"R$ 186,531.10"
2021-09-12 04:00,TRX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,106.3,$0.0997,$0.0918 (8.00%),$0.0998,$0.1157,0.0,1.97,2021-09-12 08:00 | 2021-09-13 12:00,$0.1157 | $0.0998,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 59.60,R$ 10.13,"R$ +2,990.13",0.98,"R$ 189,521.23"
2021-09-15 04:00,SKL,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,132.1,$0.4278,$0.3936 (8.00%),$0.4282,$0.4963,0.0,1.82,2021-09-16 12:00 | 2021-09-17 04:00,$0.4963 | $0.4279,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 59.54,R$ 20.34,"R$ +2,977.10",0.98,"R$ 192,498.33"
2021-09-15 04:00,AAVE,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,132.6,$396.2080,$364.5114 (8.00%),$364.5114,$459.6013,-1.1,0.58,2021-09-17 08:00,$364.2198,Stop Loss Inicial,R$ 59.57,R$ 37.64,"R$ -3,178.91",-1.04,"R$ 189,319.42"
2021-09-14 04:00,SNX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,112.4,$12.4752,$11.4772 (8.00%),$12.4877,$14.4713,0.0,2.54,2021-09-15 16:00 | 2021-09-17 20:00,$14.4713 | $12.4777,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 59.55,R$ 39.76,"R$ +2,958.30",0.97,"R$ 192,277.73"
2021-09-19 12:00,YFII,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,110.8,$5145.0712,$4733.4655 (8.00%),$4733.4655,$5968.2827,-1.17,0.0,2021-09-19 16:00,$4729.6788,Stop Loss Inicial,R$ 60.38,R$ -8.50,"R$ -3,175.90",-1.03,"R$ 189,101.83"
2021-09-16 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,129.4,$47638.3673,$44680.7771 (6.21%),$44680.7771,$53553.5476,-0.95,0.33,2021-09-20 04:00,$44645.0325,Stop Loss Inicial,R$ 77.20,R$ 60.23,"R$ -3,272.92",-1.06,"R$ 185,828.91"
2021-09-29 20:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,110.2,$41177.8208,$44115.7679 (7.13%),$44115.7679,$35301.9267,-1.22,0.0,2021-10-01 04:00,$44151.0605,Stop Loss Inicial,R$ 65.46,R$ -13.73,"R$ -3,092.95",-1.03,"R$ 182,735.96"
